Gloss,Frequency
DIFFERENT,10
SHOWER,10
HEY,10
PENCIL,10
LITTLE,10
SATISFIED,10
SUPPORT,10
HOLIDAY,10
GOVERNMENT,10
GO-WITH,10
RACE,10
DANCE,10
MUSIC,10
SEND,10
BELIEVE,10
WENT,10
GRANDMA,10
TWELVE,10
OUT,10
TYPE,10
CHURCH,10
QUOTE,10
FAST,10
THAT-ONE,10
WON,10
LOUSY,10
NEXT-YEAR,10
SAVE,10
A-S-L,10
APPLE,10
FARM,10
P-A-U-L,10
TREE,10
WEEKEND,10
TWO-THEY,10
GLASS,10
FOURTEEN,10
CHEESE,9
V-E-G,9
WORLD,9
WHAT-FOR,9
MOTORCYCLES,9
BORING,9
UMBRELLA,9
DELICIOUS,9
RUN,9
BATHROOM,9
CHILD,9
MINUTE,9
HELLO,9
OF,9
MICHIGAN,9
EXCITED,9
HAWAII,9
LOOK,9
A-LITTLE,9
GO-OUT,9
REFUSE,9
EARN,9
SEVERAL,9
CHANGE,9
PROGRAM,9
SLOW,9
GLASSES,9
TWENTY,9
GIVE-I,9
ONLY,9
IDEA,9
NEWSPAPER,9
TAKE-PILL,9
SENTENCE,9
FUNNY,9
AMERICAN,9
FORECAST,9
MOVE,9
SOMEONE,9
OUTSIDE,9
TREES,9
TOUCH,9
COKE,9
WONDERFUL,9
PUT,9
LOOK-LIKE,9
SPRING,9
KNOW-THAT,9
INSIDE,9
STEAL,9
HOPE,9
TWO-WE,8
VOLLEYBALL,8
BALL,8
DIRTY,8
I-GIVE-YOU,8
DOWN,8
ORANGE,8
SUCCEED,8
NORTH,8
JULY,8
D-C,8
INTERPRET,8
U-S,8
RIVER,8
FURNITURE,8
EYES,8
CHAT,8
WON'T,8
KIND,8
SMELL,8
BEDROOM,8
STATE,8
BUSINESS,8
CLOSE,8
SEEM,8
BUTTER,8
M-A-R-K,8
EXPERIENCE,8
BOWLING,8
ASK,8
WEEKLY,8
VOTE,8
HOSPITAL,8
MEDICINE,8
STRONG,8
MUCH,8
EGGS,8
FEW,8
SPEAK,8
BUILD,8
HEAR-AID,8
FINGERSPELL,8
TWO-HOUR,8
SKI,8
OK,8
COUNTRY,8
FRIENDS,8
WEDNESDAY,8
WARM,8
NEPHEW,8
HOCKEY,8
AIRPLANES,8
WISH,8
HEAVY,8
ONE-WEEK-PAST,8
EIGHTEEN,8
HALLOWEEN,8
AUTHOR,8
THANK,8
SOON,8
ONE-HOUR,8
WEAR,8
TENNIS,8
PERCENT,8
LOOK-FOR,8
FOR-FOR,8
GRANDPA,7
BATTERY,7
UPSET,7
ADDRESS,7
CAKE,7
PROBLEM,7
BACK,7
CALLED,7
DARK,7
PURPLE,7
GOAL,7
SPORT,7
UP-TILL-NOW,7
LAW,7
MINOR,7
CUP,7
IS,7
SURPRISED,7
POPCORN,7
NEW-YORK,7
FRIES,7
THIRTY,7
WONDER,7
PERFORMANCE,7
SEARCH,7
GAMES,7
MISTAKE,7
EXACT,7
ME,7
APPLES,7
ICE-CREAM,7
BOTH,7
ART,7
LESSON,7
SOCKS,7
ENOUGH,7
PINK,7
WE-TWO,7
STRANGE,7
EVERY-MORNING,7
MAD,7
SWEET,7
MIND,7
PICK,7
BATH,7
S-M-I-T-H,7
PIANO,7
LIPREAD,7
YOU-HELP-I,7
RING,7
WHAT-DO,7
B-O-B,7
BROKE,7
GAS,7
EUROPE,7
DRAW,7
OFTEN,7
WAIT-CONTINUALLY,7
INVOLVED,7
WHAT-TIME,7
S-F,7
LUCKY,7
YOU-TELL-I,7
J-O-E,7
BEER,7
SOCCER,7
CRAZY,7
ALONE,7
SOMETHING,7
FLY,7
NURSE,7
RETIRE,7
THAN,7
HATES,7
LIBRARIAN,7
PAINT,7
M-A-T-T,7
ANGRY,6
FACE,6
BACKPACK,6
TYPING,6
BABIES,6
O-L-G-A,6
O-K,6
FULL,6
EXCUSE-I,6
GO-THERE-REPEATEDLY,6
DOOR,6
HURRICANE,6
QMW,6
BREAD,6
J-I-M,6
REPEATEDLY,6
BRUSH-TEETH,6
POOR,6
MOVE-THERE,6
DOESN'T,6
LAST-NIGHT,6
INTERPRETER,6
HURRY,6
LIST,6
EAT-CONTINUALLY,6
BOWL,6
RABBIT,6
ORANGES,6
MOUSE,6
TEMPERATURE,6
COLORADO,6
TEND-TO,6
THREE-HOUR,6
OVER,6
DEGREE,6
THANKSGIVING,6
AUTUMN,6
WHICH?,6
REQUIRE,6
WORRY,6
PLAYER,6
FRIENDLY,6
C-L-U-B,6
WAKE-UP,6
GERMANY,6
REALLY,6
CLIMB,6
SMART,6
SO-SO,6
CHECK,6
MONKEY,6
APPLY,6
BIRTH,6
FIX,6
HIRE,6
SHOW,6
SHY,6
BORED,6
SUGAR,6
JUNE,6
SPELL,6
FAIL,6
EMAIL,6
CLUB,6
WASH-DISH,6
S-A-R-A-H,6
HOW-LONG,6
MOVIES,6
AROUND,6
INCREASE,6
ACTOR,6
HAT,6
POSTPONE,6
DO-DO?,6
JAPAN,6
DESK,6
TURKEY,6
CORN,6
CUTE,6
EXCUSE,6
ELEVATOR,6
REST,6
SIX-MONTH,6
TEND,6
APPROXIMATELY,6
REASON,6
L-I-S-A,6
APPEAR,6
SICK-CONTINUALLY,6
FLY-TO,6
EXPECT,6
SANDWICH,6
OPPOSITE,6
M-I-K-E,6
MACHINE,6
UGLY,6
FUN,6
BOUGHT,6
J-A-C-K,6
HI,6
SPANISH,6
CHICKEN,6
OCEAN,6
WORK-CONTINUALLY,6
SENIOR,5
TIMES,5
GARAGE,5
BALLS,5
SILLY,5
W-G-D,5
EAST,5
NAMED,5
ALL-RIGHT,5
SINGLE,5
QUESTION,5
CHEMISTRY,5
SHE-GIVE-I,5
SAW,5
CRY,5
TEXAS,5
MUSTACHE,5
OFFICE,5
OWE,5
BORROW,5
REALLY-ADEPT,5
DIVIDE,5
VALENTINE'S,5
MARCH,5
DEPRESSED,5
BOSTON,5
WORSE,5
WINDOW,5
THREE-OF-WE,5
STUDENTS,5
PRINT,5
GONE,5
COMPETITION,5
DIFFICULT,5
PROCEED,5
GOLF,5
WOOD,5
CLOUDY,5
EASTER,5
LIE,5
INDIANA,5
TELEPHONES,5
WHAT-TO-DO,5
RIDE-ON,5
NERVOUS,5
THIN,5
THREE-DOLLAR,5
DETEST,5
B-I-L-L,5
IMPROVE,5
RESEARCH,5
NOTHING-TO-IT,5
PROMISE,5
MEDAL,5
HELP-YOU,5
FOURTH,5
STORY,5
TOTAL,5
DEER,5
FLORIDA,5
BICYCLES,5
GET-UP,5
STAMP,5
PENCILS,5
BEARD,5
A-L-I,5
WEST,5
PAY-ATTENTION,5
ONE-YEAR,5
JAIL,5
ISLAND,5
FIRE,5
T-H-E,5
AGREE,5
SELF,5
LOT,5
GREW,5
THROUGH,5
BEACH,5
COB,5
MOUNTAIN,5
TOMATO,5
FLOWERS,5
CONTINUE,5
SEW,5
OPEN,5
DETROIT,5
TOO,5
OH-I-SEE,5
THEMSELVES,5
ANSWER,5
POTATO,5
FLOOD,5
TOO-MUCH,5
NTID,5
A-N-A,5
SEVENTEEN,5
BEAR,5
SECRET,5
TWO-WEEK,5
POLICE,5
YOU-ASK-I,5
BIOLOGY,5
GIVE-UP,5
SURPRISE,5
APPEARANCE,5
POP,5
HURT,5
KEY,5
TOOTH,5
BASEMENT,5
KID,5
BANK,5
GROUP,5
LIGHTNING,5
DIVORCE,5
FIVE-DOLLAR,5
ACCOMPANY-I,5
DAYS,5
S-E-A-N,5
FAR,5
COMMUNITY,5
AFTER,4
WRONG-REPEATEDLY,4
BREAK-DOWN,4
PET,4
TIE,4
GYM,4
TRAVEL-AROUND,4
G-E-O-R-G-E,4
AFRICA,4
FOUR-OF-WE,4
BODY,4
H-S,4
RELAX,4
STAND,4
D-A-T-E,4
AMERICA,4
SAD,4
FORTY-EIGHT,4
BUS,4
BATS,4
COME-ON,4
FRONT,4
KNOW++,4
Z-O-O,4
BANANA,4
ARTIST,4
INFORM,4
OWN,4
GEOGRAPHY,4
DISAPPOINT,4
C-H-E-S-S,4
ACT,4
HOW-MUCH?,4
C-F,4
KISS,4
GROW-UP,4
COURSE,4
MONKEYS,4
I-GIVE-SHE,4
THIRTEEN,4
SLEEPY,4
SHUT-DOWN,4
PRISON,4
UNTIL,4
SIGN+AM,4
INDEPENDENCE,4
PILOT,4
J-E-F-F,4
GEORGIA,4
BIRD,4
THEATER,4
LEADER,4
PICK-UP,4
YOU-SEND-SHE,4
MICROWAVE,4
VOLUNTEER,4
LATE-REPEATEDLY,4
TICKETS,4
SHORTS,4
ARIZONA,4
EDUCATION,4
AMBULANCE,4
REFRIGERATOR,4
PATRICK'S,4
KITCHEN,4
SERVICE,4
S-A-M,4
RESIDENTIAL-SCHOOL,4
LIFE,4
ALGEBRA,4
SPAGHETTI,4
QUIET,4
WINE,4
A-P-T,4
DOGS,4
FIFTY,4
NOVEMBER,4
SANDWICHES,4
TWENTY-ONE,4
DECEMBER,4
BELT,4
YOU-SUMMON-I,4
FEBRUARY,4
KANSAS,4
CHOOSE,4
EAR,4
THANK-YOU,4
ST,4
SUGGEST,4
UP-TO-NOW,4
KEEP,4
GRASS,4
P-A-U-L-A,4
APT,4
O-H-I-O,4
ENGLAND,4
COMMUNICATE,4
ODD,4
M-A-Y,4
ESTABLISH,4
COPY,4
STUBBORN,4
COMPETE,4
VIDEO,4
TWO-WEEK-AGO,4
WHY-NOT,4
Y-I-N-G,4
YOU-SHOW-I,4
COMPLAIN,4
DUTY,4
SKATING,4
ROLLER,4
REGISTER,4
DIVORCED,4
GIFT,4
GOT,4
DON'T-CARE,4
CARS,4
YOU-ASK-SHE,4
SECRETARY,4
FREE,4
I-TELL-ALL-OF-YOU,4
GOLD,4
DORM,4
N-Y,4
EVERY-SATURDAY,4
T-H-O-M-A-S,4
SOFT,4
HIDE,4
HOLLAND,4
YOU-PAY-I,4
ACTRESS,4
COW,4
LOUD,4
VOMIT,4
MEMORIZE,4
SURE,4
CELEBRATE,4
THIRTY-ONE,4
THING,4
WEDDING,4
TALK,4
NOT-WANT,4
BLOOD,4
HOST,4
PICNIC,4
MEMORIAL,4
TOUCH-FINISH,4
VIRGINIA,4
RESPONSIBLE,4
WINDY,4
CHEAP,4
STRAIGHT,4
FAT,4
BATHROOMS,4
M-R,4
T-I-N-A,4
B-E-T-H,4
NATIONAL,4
AIRPORT,4
SHOP,4
HEARING,4
C-A-R-L,4
WOMEN,4
EVERY-NIGHT,4
MISS,4
ANIMAL,4
PREGNANT,4
CHALLENGE,4
PUT-IN,4
MEANING,4
KICK,4
LONELY,4
DRAMA,4
CAMERA,4
MOTORCYCLE,4
AGAINST,4
TWO-MONTH,4
LAWYER,4
DAKOTA,4
CAROLINA,4
AWKWARD,4
SALT,4
DRANK,4
SHAVE,4
BEDROOMS,4
HAMMER,4
SISTERS,4
RADIO,4
MOVE-HERE,4
WIND,4
LIVING,4
VISION,4
WELD,4
SANTA,4
THROW-OUT,4
FISHING,4
ATHLETE,4
THROW,4
SMOKE,4
BOAT,4
CLEAN-UP,4
PROUD,4
L-I-N-D-A,4
BRING-THERE,3
RUNNING,3
COULD,3
HE-ASK-I,3
WORRY-REPEATEDLY,3
VERY-HOT,3
B-E-A-C-H,3
ARRIVE-THERE,3
WASH-CLOTHES,3
SHOCKED,3
SET-UP,3
STANDING,3
FIGHT,3
HE-HELP-I,3
GET-ON,3
KEYS,3
NINETEEN,3
I-COPY-YOU,3
WYOMING,3
BLOND,3
HUGE,3
SEVENTY-FIVE,3
J-U-L-I-E,3
INTERSECTION,3
ENTHUSIASTIC,3
BITE,3
P-O,3
STRIPES,3
SCHOOL-FOR-DEAF,3
OFFER,3
ACTIVITIES,3
LEISURE,3
FOOL,3
LOSE-REPEATEDLY,3
PROHIBIT,3
HOW-OLD,3
FRUSTRATED,3
I-INFORM-ALL-OF-YOU,3
OLYMPICS,3
VERY,3
WEIGHT,3
BROTHERS,3
FOUR-THIRTY,3
FLUNK,3
HE-MEET-I,3
OLDEST,3
ARTICLE,3
S-I-N-K,3
SPECIAL,3
INTRODUCE,3
"""HARRY",3
SWIMMING,3
J-A-N,3
REACH,3
YOU-GIVE-SHE,3
B-O-B-B-Y,3
ACCIDENT,3
FREEWAY,3
THIRTY-THREE,3
UNDERWEAR,3
LIGHT,3
DOLL,3
FRENCH-FRIES,3
THIRD,3
A-L-I-C-E,3
INVOLVE,3
HUH,3
BAKE,3
YOU-MEET,3
SPOTS,3
ONLINE,3
ROCK,3
HAMBURGERS,3
MOTOR,3
WRIST-WATCH,3
S-E-P-T,3
COACH,3
TWENTY-THREE,3
FOG,3
I-N-D,3
FARMER,3
HOTDOG,3
SKATE,3
BIT,3
COUCH,3
M-I-C-H,3
DRESSES,3
FRANCE,3
HELP-I,3
DESCRIBE,3
MINNESOTA,3
I-GIVE-HE,3
NOON,3
N-J,3
MORE-THAN,3
GARBAGE,3
S-U-S-A-N,3
A-H-M-E-D,3
LAUNDRY,3
E-R-I-N,3
ONE-DAY,3
M-I-L-L-S,3
G-A-T-E-S,3
SHE-GIVE-HE,3
TRAFFIC,3
OFF,3
EMPTY,3
APRIL,3
LISTEN,3
PRICE,3
WHAT'S-UP,3
CHERISH,3
SHARE,3
S-T-E-V-E,3
THREE-DAY,3
I-INFORM-YOU,3
WRENCH,3
RUIN,3
BEARS,3
JUMP,3
INDIANAPOLIS,3
WALL,3
PHILADELPHIA,3
GIVE-SHOT,3
DECLINE,3
ALLERGY,3
CANADA,3
CURLY,3
NINETY-EIGHT,3
THEREABOUTS,3
SKIING,3
IOWA,3
HALF,3
DREAM,3
ONE-HALF,3
HABIT,3
VOCATIONAL,3
S-A-N-D-Y,3
CAMP,3
HE-TELL-I,3
GRANDPARENTS,3
ELEPHANT,3
COUSINS,3
WEAR-OUT,3
CLOSE-DOOR,3
F-I-X,3
AREA,3
SUPPER,3
SNAKE,3
MOMENT,3
M-A-C,3
VEG,3
FLY-THERE,3
SHE-TELL-I,3
SHE-HELP-I,3
HE-SEND-I,3
BRIDGE,3
RAT,3
PRESSURE,3
WAKE,3
ROLE,3
SOMEDAY,3
TIGERS,3
L-A-B,3
MAY,3
PERSUADE,3
CAFETERIA,3
ALABAMA,3
DRINKS,3
P-R-I-Z-E,3
N-O-B-E-L,3
BILL,3
LIE-DOWN,3
SUPERVISOR,3
PREACH,3
MICH,3
E-L-E-N-A,3
TWO-OF-YOU,3
PO,3
PEPSI,3
HEAR-NONE,3
LIVES,3
R-I-T-A,3
CENTER,3
CURIOUS,3
GRAPES,3
MEASURE+AM,3
PARENT,3
THERE-DRIVE-THERE,3
T-U-B,3
MOW,3
A-FEW,3
SCARE,3
INFECTION,3
BUTTERFLIES,3
KINDERGARTEN,3
MEANS,3
ARGUE,3
M-A-X,3
FIELD,3
CHEAT,3
M-O-L-A-R,3
HANUKKAH,3
LIONS,3
COCHLEAR-IMPLANT,3
STAY-CONTINUALLY,3
LAZY,3
C-O-R-N,3
THREE-HUNDRED,3
GRAY,3
PIGS,3
COMPLETE,3
MISSIONARY,3
PAIN,3
SAME-AS-YOU,3
J-O-N-E-S,3
KIDS,3
HEALTH,3
HORSES,3
RELIGION,3
SUBWAY,3
CATS,3
CALL,3
M-I-N-N,3
BALD,3
FIRED,3
SOCIAL,3
NINETY-NINE,3
BRIGHT,3
THIEF,3
K-A-L,3
FRUSTRATE-REPEATEDLY,3
M-A-H-E-S-H,3
FINGERSPELLING,3
SUCCESS,3
RAISED,3
APARTMENT,3
DUCKS,3
BECOME-ANGRY,3
SQUIRRELS,3
ALL-OF-THEY,3
BY,3
TWENTY-DOLLAR,3
BREAKDOWN,3
MINUS,3
PIES,3
FLAG,3
W-E-B-S-I-T-E,3
TAN,3
THINK-OF,3
LAUGH,3
SKIRT,3
SILVER,3
EARTHQUAKE,3
LEAVE-TO,3
SHOPPING,3
B-E-T-T-Y,3
GO-TO-IT,3
I-TELL-YOU,3
COMMITTEE,3
SHAKE,3
WITHOUT,3
MISS-OUT,3
DISAGREE,3
RHODE,3
PACK,3
K-E-V-I-N,3
NEGATIVE,3
BLIZZARD,3
WHAT-FOR?,3
ALLOW,3
N-A-D,3
TELL-I,3
G-A-I-L,3
HEART,3
YOU-TWO,3
BUG,3
P-E-T-E-R,3
TWO-YEAR,3
HEAD,3
FREQUENT,3
RETIRED,3
DATE,3
BANANAS,3
ESTABLISHED,3
HAIRCUT,3
SAME-AS,3
TOOK,3
N-A-D-I-A,3
MEXICO,3
UTAH,3
TOURNAMENT,3
ARMY,3
N-O-V,3
MAGAZINE,3
TOGETHER,3
PROTEST,3
ONE-MINUTE,3
FOR-FOR?,3
FIVE-MINUTE,3
CABINET,3
WHAT'S,3
POUR,3
MILLION,3
TWENTY-NINE,3
TROPHY,3
ARM,3
SEE-NONE,3
SUNNY,3
INTERNET,3
CLOSED,3
TWO-THOUSAND-SIX,3
BEHIND,3
ELECTRIC,3
SCARY,3
J-U-D-Y,3
YOU-SEND-I,3
J-E-N-N-Y,3
ADVERTISEMENT,3
PAST-NIGHT,3
HOTEL,3
CEREAL,3
THREE-WEEK-AGO,3
SHE-MEET-I,3
DESTROY,3
FLOOR,3
K-A-T-H-Y,3
A-P-R-I-L,3
HEADACHE,3
DUMB,3
C-O-A-S-T,3
STRUGGLE-CONTINUALLY,3
JUNIOR,3
WEIGH,3
WASHING-MACHINE,3
TWENTY-TWO,3
ONE-HUNDRED,3
HUG,3
HAPPEN++,3
TELL-STORY,3
J-A-C-K-I-E,3
PILL,3
CHARACTER,3
BIKE,3
LEARN++,3
TOSS,3
TWO-YEARS-AGO,3
EVER,3
SPAIN,3
GO-BY-TRAIN,2
POETRY,2
DRUNK,2
TOAST,2
T-I-M,2
INTERPRET-CONTINUALLY,2
EVERY-FRIDAY,2
C-A-B-L-E,2
ADOPT,2
EIGHTEEN-NINETY-FOUR,2
SHUT-UP,2
HE-FIRE-I,2
OPEN-MOUTH-WIDE,2
ALMOST,2
GATHER-TOGETHER,2
BLAME,2
STRESS,2
TITLE,2
F-R-E-D,2
FROG,2
J-O-S-E,2
REPLACE,2
SMOKE-CIGARETTE,2
PLUMBING,2
FOUNDED,2
DO++,2
TWENTY-ZERO-NINE,2
WINK-WINK,2
BIRTHDAY!,2
B-R-O-C-C-O-L-I,2
BIKING,2
YOU-GO-TO,2
REALIZE,2
STOP-IT,2
I-MEET-HE,2
DOUBT,2
WAS,2
G-A-S,2
LOOKS,2
LONDON,2
MOBILE-PHONE,2
S-A-L-L-Y,2
TURTLES,2
CARRY-THERE,2
BRAILLE,2
CONVENE,2
M-O-R-R-I-S,2
SAME-HERE,2
VERMONT,2
T-A-R-A,2
ROTTEN,2
AFTER-AWHILE,2
HEADACHE-CONTINUALLY,2
EVERY-TUESDAY,2
STUPID,2
SCOUTS,2
C-O-N-N,2
M-I-A,2
L-A-R-R-Y,2
RUBBER,2
ANNOUNCE,2
EYE,2
CONTINUALLY,2
SPINACH,2
S-I-R,2
FIFTY-DOLLAR,2
PAGE,2
RESUME,2
TAKE-EASY,2
SYMPATHIZE-WITH,2
ANOTHER,2
RECOVER,2
I-F,2
R-O-B-E-R-T,2
INVENTED,2
TRADE,2
COATS,2
CORNER,2
INVENT,2
COMPARE,2
PULL-OUT,2
EACH,2
CLERC,2
CHAOS,2
NATURAL,2
NEVADA,2
UPSTAIRS,2
BED-ROOM,2
T-O-M,2
MIND-YOU,2
L-B,2
OBEY,2
R-I-C-K,2
QUIZ,2
CHAMP,2
ATLANTA,2
COMB,2
WASH-IN-MACHINE,2
EIGHT-WEEK,2
K-R-I-S,2
CONNECT,2
BATHE,2
WHALE,2
AWARENESS,2
ASK-SHE,2
STINK,2
RAIN++,2
UNDER,2
GRANDSON,2
SPELLING,2
R-O-W-D-Y,2
BECAUSE,2
STRAWBERRY,2
PEANUT,2
BYE,2
EARTH,2
I-ASK-HE,2
LAW+AM,2
FACTORY,2
O-R,2
I-TELL-SHE,2
YOU-TEACH-I,2
ROAD,2
C-H-A-G-R-I-N,2
CROSS,2
FORTY,2
SIBLINGS,2
OHIO,2
MAIL,2
TERRIBLE,2
BACON,2
ANNUALLY,2
IT-PAY-I,2
FREEZING,2
KENTUCKY,2
FOUR-MONTH,2
RULE,2
DECORATE,2
O-C,2
PULL-TOOTH,2
GO-BY-BOAT,2
MAINE,2
N-T-I-D,2
FALL-IN-LOVE,2
HANDED,2
THREE-OF-THEY,2
WELL,2
