input,target
"YOUR PANTS , YOU PUT DRESSER , HANG UP WHICH ?",Do you keep your pants in a dresser or do you hang them up?
SIT PLEASE .,"Have a seat, please."
I HEAR CLASS CLOSED I NEED TO GRADUATE .,I had heard that a class I needed to graduate was closed.
I NOT KID I .,I'm not a kid.
INTERNET SITE YOUR FAVORITE WHAT ?,What is your favorite internet site?
HAVE TWO CAR I .,I have two cars.
S-I-R J-O-H-N C-O-R-N-F-O-R-T-H HIMSELF DEAF CHEMIST .,Sir John Cornforth was a deaf chemist.
EVERY SUMMER STRAWBERRY FARM MY FAMILY GOES-TO .,My family goes to the strawberry farm every summer.
IT DIRTY NOT IT ?,It's not dirty?
APPEARANCE SAD YOU .,You look sad.
HAMBURGER FRENCH FRIES POP I WANT .,"I want a hamburger, french fries and pop."
LICENSE HAVE NONE .,I don't have a license.
"YOU , I SEE NONE SINCE .",I haven't seen you for awhile.
J-O-E TTY-TO-I WHY? IN-JAIL HE .,Joe called me on the TTY because he was in jail.
"YOU WANT WHICH , ICE CREAM , CANDY , WHICH ?",Do you want ice cream or candy?
YOU THINK CAT STUCK UP ?,Do you think cats are stuck up?
TWENTY-FIVE YEARS FACTORY MY FATHER-IN-LAW WORK+++ .,My father-in-law worked at a factory for twenty-five years.
Every-SATURDAY what-DO YOU ?,What do you do every Saturday?
WOW. SAME I BEFORE .,Wow. That happened to me before.
I BUY NOTHING I .,I bought nothing.
TIME ?,What time?
COME-ON . DOOR YOU-LOOK-AT-IT .,Come and look at this door.
MY DAUGHTER TOOK A CHANCE QUIT HER JOB ESTABLISHED HER OWN COMPANY LUCKY SUCCESSFUL SKYROCKET .,"My daughter took a chance when she quit her job and started her own company. Luckily, it has taken off and is successful."
"STAY PARTY ALL-NIGHT , I DON'T-LIKE I .",I don't like to stay at parties all night.
MY NAME B-R-E-N-D-A C-A-R-T-W-R-I-G-H-T . MY NAME SIGN BC .,My name is Brenda Cartwright. My name sign is BC .
WHO WON'T EAT MEAT ?,Who doesn't eat meat?
SOMETIMES YOU ACT CRAZY ?,Do you ever act crazy?
WHO MADE COOKIE WHO ?,Who made the cookies?
EVERY-DAY COMMUTE BETWEEN WASHINGTON BALTIMORE .,I commute between Baltimore and Washington every day.
"STAY TWO-WEEK FINISH , DRIVE-TO HOME .", I'll stay two weeks then drive home.
LIBRARY GO ?,Do you want to go to the library?
I WANT AIRPLANE .,I want to use an airplane.
I LOVE ICE CREAM .,I love ice cream.
MONEY NOT-YET ARRIVE .,The money hasn't come yet.
YOU PRETTY YOU .,You are pretty.
"COMMITTEE , IT-PICK-I LECTURE .",The committee picked me to lecture.
TOMORROW CHRISTMAS NEXT WHAT? NEW YEAR .,Tomorrow is Christmas and then it will be New Years.
C-F NOW I GIVE-YOU FINISH YOU-GIVE-HE TOMORROW .,I'll give you the captioned film now then you can give it to him tomorrow .
"NO , NOT SECRET .","No, it's not a secret."
EAGLE EAT MOUSE ?,Do eagles eat mice?
TIME ONE PM BASKETBALL GAME .,The basketball game is at 1:00 pm.
RABBIT TASTE GOOD ?,Does rabbit taste good?
YOU FORBID LEAVE CLASSROOM ALONE !,You can't leave the classroom by yourself!
BEAR SLEEP DURING WINTER ?,Do bears sleep during the winter?
"BEFORE FALL I APPLY NTID , GALLAUDET .",Last fall I applied to NTID and Gallaudet. 
WATER DRINK I NEED .,I need a drink of water.
W-E-B-S-I-T-E CHECK FOR-FOR ?,Why are you checking out websites?
"BEFORE TEST , YOU STUDY ALL-NIGHT ?",Did you study all night before the test?
NO STARVING I .,"No, I'm starving."
TODAY COLORADO BLIZZARD TEMPERATURE NEGATIVE THREE .,Today in Colorado there will be a blizzard and it will be minus three degrees.
SUNDAY JUNE THIRTEEN MY BIRTHDAY I OLD SEVENTEEN .,"On Sunday, June 13 I will be 17 years old."
MANY DEAF LEARN+AM ENTER SPEAK COLLEGE .,Many deaf students enter hearing
HE LOOK-AT-CONTINUALLY ONE-HOUR .,He stared at it for an hour. 
PAST MONTH FATHER DIE .,My father passed away last month.
"IF CANDY EAT TOO-MUCH , WILL STOMACH-ACHE YOU ?","If you eat too much candy, will you get a stomach ache?"
KID LOVE PIZZA .,Kids love pizza.
YES MY BROTHER HE CALL I .,"Yes, my brother called me. "
"MOTHER , I DON'T KNOW WHAT SHE LIKE .","Mother, I don't know what she likes."
YOU LEARN A-S-L WHY ?,Why are you learning ASL?
MY MONKEY SHE PURPLE I LOVE SHE .,I love my purple monkey.
CLASS THERE COLLEGE .,The class is at the college.
"COOK CLASS , YOU PAST TAKE ?",Have you ever taken a cooking class?
I SAVE FOOD FOR YOU .,I'll save some food for you.
STOP! FORK IN MICROWAVE .,Stop! There's a fork in the microwave.
HE TIRED NOT HE ?,He's not tired?
FEEL YOU ? CHECK NUMB ?,How do you feel? Is your cheek numb?
SALAD COSTS TWO DOLLARS NINETY-NINE CENTS .,Salad costs $2.99.
IT RESTAURANT HAVE RESTROOM .,There's a restroom in the restaurant.
MATH ENGLISH SOCIAL STUDIES SCIENCE .,"Math, English, Social Studies, Science."
THAT BICYCLE WOW EXPENSIVE .,That bicycle there is really expensive.
"JEW , MANY LIVE ISRAEL ?",Do many Jewish people live in Israel?
YOU FINISH RETIRE .,You have retired.
CHILDREN WRITE LETTER THEMSELVES .,The children wrote letters themselves.
MERRY CHRISTMAS HAPPY NEW YEAR !,Merry Christmas and a Happy New Year!
"RESIDENTIAL-SCHOOL STRUGGLE CLOSE++ , WHY ?",Why was there a struggle to close residential schools?
PHARMACIST DO-DO? ANSWER QUESTIONS ABOUT MEDICINE .,The pharmacist answers questions about medications.
YOU LIKE SOUP SANDWICH WHICH ?,Which do you like soup or sandwiches?
WANT GO MOVIE YOU ?,Do you want to go a movie?
GOOD SECURITY SYSTEM MY HOUSE HAS .,My house has a good security system.
"TOOTHPASTE YOU ,  WHAT-KIND ?",What kind of toothpaste do you use?
ITALIAN RESTAURANT GO-OUT EAT WHY NOT TWO-OF-WE ?,Why don't we go to an Italian restaurant?
MY SISTER AND BROTHER LATE-REPEATEDLY . CAN'T DEPEND THEY .,My sister and brother are always late. You can't depend on them.
YOU LIVE HERE HOW-MANY YEAR ?,How many years have you lived here?
I RAISED SPEAK SPANISH ?,I was raised speaking Spanish.
I DON'T-WANT EAT HAMBURGER !,I don't want to eat a hamburger!
HI N-I-K-K-I . HOW YOU ?,"Hi, Nikki. How are you?"
"TRAIN , ARRIVE-AT .",The train is here.
YOUR FAVORITE VEGETABLE WHAT ?,What is your favorite vegetable?
PRESIDENT'S DAY WHEN ? THURSDAY FEBRUARY EIGHTEEN .,"President's Day is Thursday, February eighteenth."
YOUR DAD EYES BLUE ?,Does your dad have blue eyes?
TWENTY-FIVE YEAR PAST HARD FIND INTERPRET+AM .,"Twenty-five years ago, it was hard to find an interpreter."
HOW YOUR WEEKEND ?,How was your weekend?
"ONE HOUSE NORTH MICH THAT-AREA , MOTHER-FATHER HOUSE .","One house is in the Northern Michigan area, which is my parents house."
NEW YORK I BORN .,I was born in New York.
YOU GO-TO WORK YOU RIDE-IN SUBWAY B-U-S WHICH ?,do you ride the subway or bus to go to work?
"YOU PREFER STOVE , MICROWAVE , WHICH ?",Would you rather cook using a stove or a microwave?
ABOUT HAVING PASSION DO WONDERFUL THINGS LIFE .,It has to do with your passion to do greater things in life!
"MY PICTURE , YESTERDAY I-SHOW-SHE MOTHER . SHE SAY PRETTY .",I showed mother my picture yesterday. She said it was pretty.
THAT WOMAN SMOKE-CONTINUALLY .,That woman smokes continually.
WHERE FROM YOU ?,Where are you from?
WHO YOU THINK STRANGE ?,Who do you think is strange?
LATER I PRACTICE SIGN .,Later I will practice signing.
WORK I ENJOY I .,I enjoy work.
"DINNER READY , YOU-SUMMON-I .","When dinner is ready, call me."
"R-I-T-A , HE EXPECT I LOVE HE .","Rita, he expects me to love him."
COLORFUL PAPER CLIPS I BUY .,I buy colorful paper clips.
SICK WEAK FEEL I  .,I feel weak and sick.
YOU WANT EXERCISE ?,Do you want to exercise?
SHE WANT CAR .,She wants a car.
"SINCE LETTER I-SEND-HE-REPEATEDLY , HEAR NONE I .","I kept sending him letters, but I heard nothing from him."
YOU SEE WHAT ?,What do you see?
COKE MACHINE HERE .,The coke machine is here.
YOU FROM WHERE ?,Where are you from?
TOMORROW PRESIDENT APPEAR MAYBE .,The president may show up tomorrow.
EAT YOU NOT-YET ?,Have you eaten yet?
YOU WHAT NAME ?,What is your name?
"I SUPPORT WHEELCHAIR , HE KNOW-THAT HE .",He knows that I support the disabled.
I DON'T LIKE DRINK .,I don't like to drink.
MY BABY BORN IN-FOUR-MONTH .,My baby will be born in four months.
I WORK FEED COMPUTER .,I do computer input.
DON'T-WANT COLLEGE I .,I don't want to go to college.
THEMSELVES ETHUSIASTIC STUDY NOT .,They're not eager to study.
"YOU THINK CUTE , WHO ?",Who do you think is cute?
"BASKETBALL , I PLAY .","As for basketball, I play it."
"I GO-THERE LIBRARY , STUDY FINISH , COME-TO-HERE HOME , EAT .","I'll go to the library and study, then I'll come home and eat."
WORK THERE BUILD SHIP SINCE TWO YEAR .,I have worked for a shipbuilder for two years.
I DON'T-LIKE STAY HOME .,I don't like to stay home.
"PRESSURE , DON'T-WANT I .",I don't want stress.
D-V-D BOX BUY WILL .,I will buy a DVD player.
IDAHO KANSAS WHICH ?,Idaho or Kansas?
"L-I-S-A , SHE UNDERSTAND MOVIE .",Lisa doesn't understand the movie.
HE WANT NEW TABLE .,He wants a new table.
I FIND THREE GLASSES .,I found three glasses.
BELT PLEASE .,Please fasten your seat belt.
BUT IT PIZZA STORE KNOW MY FIRST NAME !,But the pizza store knows my first name!
"M-A-Y , SINCE I SICK-CONTINUALLY .",Since May I've been sick continually.
YOUR SANDWICH TOMATO YOU WANT ADD ?,Would you like a slice of tomato on your sandwich?
MY PARENTS HAVE PATIENCE NOTHING .,My parents have no patience.
COST HOW-MUCH ?,How much does it cost?
COFFEE TEA WANT WHICH ?,"Which do you want, coffee or tea ?"
THIS YEAR FLU SHOT DON'T FORGET .,Don't forget to get a flu shot this year.
FOR YOU SLEEP MUST DARK ?,Do you need a dark environment to sleep?
EGG THUMB-UP .,Eggs sunny-side up.
WHICH HORSE ESCAPE WHICH ?,Which horse escaped?
CAR YOUR ?,Is that car yours?
SNAKE CHASE RAT THROUGH TUNNEL DARK .,The snake chases the rat into the dark tunnel.
"YOUR BOSS SIGN , FINGERSPELL ?",Does your boss sign and fingerspell?
NOW-SUMMER BEACH WE GO ?,Can we go to the beach this summer?
"SUPPOSE MY AUNT SHOW-UP , I GO HOME .","If my aunt shows up, I am going home."
I DECIDE ESTABLISH SIGN CLASS .,I decided to set up a sign language class.
"FOOTBALL , MY BOYFRIEND LOOK-AT-REPEATEDLY . VERY-BORING !",My boyfriend watches football game after football game. It's so boring!
THIS JOB MUST CHECK EMAIL ONCE-MONTH CLEAN COMPUTER .,For this job you will need to check your email and clean your computer once a month.
NEXT FRIDAY ROOMMATE TWO OF WE MOVE DIFFERENT APT .,"Next Friday, my roommate and I are moving to a different apartment."
"MORNING , BUSINESS CLASS YOU GO-TO .",You go to the business class in the morning.
I FLY-THERE L-A FINISH FLY-THERE CHICAGO .,I flew to Los Angeles then flew to Chicago.
YOU THINK COFFEE TASTE GOOD ?,Do you think coffee tastes good?
"MONEY YOU-GIVE-I NOW , I BUY TICKET I .","If you give me the money now, I can buy the ticket."
WHO DEAF WHO ?,Who here is deaf?
NEW HAT I BUY FINISH .,I bought a new hat.
"TEACH+AM DUTY WHAT? TEACH . REBEL , COMPLAIN , WRONG !","Teachers are supposed to teach, not rebel and complain."
STATE YOU LIVE WHICH ?,Which state do you live in?
TOMORROW MICHIGAN SUN SIXTY-FOUR DEGREES .,Tomorrow in Michigan will be sixty-four degrees and sunny.
ASL CLASS WHERE ?,Where is the ASL class?
YOUR FAMILY HAVE DEAF .,Are there any Deaf people in your family?
S-T-E-V-E TRY SEND PAPER TIMELY .,Steven tried to send the paper on time.
"RUN , BORED I .",I'm bored with running.
WHY YOU WANT KNOW ?,Why do you want to know?
MEDICINE MY WIFE HER FAVORITE CLASS .,My wife's favorite class is medicine.
DURING SIGN ASL USE MOUTH ?,"During ASL signing, do you use your mouth?"
TOMORROW MOVIE GO-TO WANT I .,I want to go to the movies tomorrow.
HER PARENTS DEAF .,Her parents are deaf.
"RING , YOU BUY FINISH ?",Did you buy the ring?
"TOMORROW SNOW , YOU GO-TO SKI YOU ?","If it snows tomorrows, will you go skiing?"
F-R-A-N-K MINOR WHAT? LAW .,Frank's minor is law.
COMPUTER TEXT COPY PASTE .,Copy and paste your document.
EVERY MONTH MY LIBRARY HAVE WHAT? A-S-L STORY TIME .,My library has ASL story time every month.
"HE HAVE NEW CAR , FRUSTRATE STEAL .","He had a new car, then to his dismay, it was stolen."
IN-THREE-YEARS GAMES WHERE? CANADA .,"In three years, the games will be in Canada."
YOU DON'T-WANT CHAIR YOU ?,You don't want a chair?
I CAN LECTURE TIME THREE I .,I can lecture at three o'clock.
G-R-I-L-L HAMBURGER COOK I LOVE .,I love to cook hamburgers on the grill.
WHEN WASHINGTON BIRTHDAY ?,When is Washington's Birthday?
EGG I NEED DOZEN .,I need a dozen eggs.
I ALLERGY WHAT? P-E-N-I-C-I-L-L-I-N .,I have an allergy to penicillin.
THIS CITY HAVE BRIDGE ?,Does this city have a bridge?
YOURSELF YOU-ASK-SHE TEACH+AM .,You ask the teacher.
COP SHE-GIVE-HE TICKET .,The cop gave him a ticket.
BASEBALL GAME THERE .,The baseball game is over there.
WOMAN WAIT .,The woman is waiting.
I LEARN A-S-L WHY? I ENJOY I .,I am learning ASL because I enjoy it.
MY WIFE ? DIVORCED .,My wife? We're divorced.
I GO-TO REGISTER HIT ONE PLACE LEFT .,I went to sign up for the class and luckily there was one seat left.
TIME EIGHT AM TENNIS I PLAY .,I will play tennis at 8 a.m.
NOW YOU WANT YOU-BORROW-I MY WRENCH ?,Now you want to borrow my wrench?
"READ , YOUR UNCLE ENJOY ?",Does your uncle enjoy reading?
EAT NIGHT .,Dinner.
I READ BOOK .,I read the book.
TAKE-CARE .,Take care of yourself.
K-I-M BUY YESTERDAY WHAT ?,What did Kim buy yesterday?
YOU SHY ? I DOUBT-IT .,I doubt that you are shy.
TOMORROW AGAIN YOU-TELL-SHE !,Tell her again tomorrow.
"LEFT THREE-DAY , OFF .",I'm off for three days.
"MONEY , I-LOAN-YOU-REPEATEDLY , TOTAL SIXTY-DOLLAR .",I've loaned you money again and again totaling sixty dollars.
"LAST TIME I-SEE-YOU LAST-YEAR , RIGHT ?","The last time I saw you was last year, right?"
WAITER WHERE ?,Where is the waiter?
"NO DEAF , I HEARING .","No, I'm not deaf, I'm hearing."
CONSTITUTION WHO WROTE ?,Who wrote the Constitution?
FREE B-E-L-L IN PHILADELPHIA ?,Is the Liberty Bell in Philadelphia?
I ENJOY LEARN NEW SIGN .,I enjoy learning new signs.
WHO HAVE HEAR-AID ?,Who has a hearing aid?
YOUR AUNT EAT YOUR ORANGE ?,Is your aunt eating your orange?
IT RESTAURANT HAVE WATER .,There is water in the restaurant.
"SUPPOSE YOU GO MOVIE , YOU LIKE EAT POPCORN ?",Do you like to eat popcorn at the movies?
MY CUP IS NEXT TO THE PAPER .,My cup is next to the paper.
MY HUSBAND DON'T WANT WALL PURPLE .,My husband doesn't want a purple wall.
"NEXT-WEEK , YOU I SIGNS , TEACH-EACH-OTHER .","Next week, you and I will teach each other signs."
I UNDERSTAND . I DON'T-WANT I-TAKE-ADVANTAGE-HE .,I understand. I don't want to take advantage of him.
EAT NOON .,Lunch.
MY DONUTS I LIKE EAT WITH COFFEE .,I like to eat my donuts with coffee.
MEAT COOK++ ENOUGH NOT .,The meat is too rare.
YOU TYPE ?,Can you type?
HE LIKE WORK HE ?,Does he like to work?
TWENTY-THREE PLUS SEVEN HOW-MANY ?,What is 23 + 7?
"I FEEL LUCKY , YOU ?",I feel lucky. How about you?
"PITY-HE , TEAM HIS LOUSY , HE LOSE-COMPETITION-REPEATEDLY .","I feel sorry for him. His team is so bad, and they always lose so badly."
HE PLAN AGAINST .,He plans to sue them.
"HE LIKE SHE GIRL , I KNOW-THAT I .",I know that he likes the girl.
"I BREAK YOUR WRIST-WATCH , NOTHING !",I didn't break your wristwatch!
MY LAST NAME C-O-O-P-E-R ., My last name is Cooper.
THEY FINISH VOTE PRESIDENT C-L-U-B WHO? BROTHER .,"They've elected a president for the club, and it is my brother."
NEXT-WEEK SISTER COME-HERE ?,Is your sister coming next week?
I ORDER FRENCH-FRIES THREE I .,I ordered three french fries.
"YOUR HAMBURGER , YOU LIKE PICKLE ?",Do you like pickles on your hamburger?
YES THANK YOU .,"Yes, thank you."
WHO ?,Who is it?
YOU MARRIED YOU ?,Are you married?
YOU HAVE CHILDREN ? HOW-MANY ?,Do you have children? How many?
LEARN ASL EASY ?,Is learning ASL easy?
SOON NEW CAR BUY I NEED .,I need to buy a new car soon.
I-GIVE-HE .,I give to him.
TEN FRENCH FRIES S-E-A-N ATE .,Sean ate ten french fries.
"YESTERDAY YOU HOME ARRIVE , TIME ?",What time did you arrive home yesterday?
CLEAR .,It's clear outside.
MINNESOTA MISSOURI WHICH ?,Minnesota or Missouri?
I DRIVE WRONG SEE WARNING LIGHT FOR OIL .,"I was driving along. When I looked down, I saw the oil light on."
YOU-ASK-SHE LAWYER .,Ask the lawyer.
YOU THINK CHILDREN SHOULD CHANGE UNDERWEAR DAILY ?,Do you think children should change their underwear everyday?
YOU EARN MONEY HOW ?,How do you earn money?
LAST-MONTH NEW FISH WE BUY  .,"Last month, we bought new fish."
"YOU RIDE-ON TRAIN , YOU NERVOUS YOU ?",Are you nervous when you ride on a train?
YOU LIKE CHOCOLATE ?,Do you like chocolate?
WIFE HOSPITAL .,My wife is in the hospital.
MOST TIME I OUT LUNCH .,Most of the time I go out to lunch.
FUNNY . ENJOY .,It was funny and enjoyable. 
BECOME DEAF OLD HOW-MANY ?,How old were you when you became deaf?
EVERY-NIGHT YOU GET-IN BED TIME WHAT ?,What time do you get in bed every night?
"CAR IT HAVE RADIO , A-C ; IT PLAIN , I WANT IT .",I want the plain car rather than the one with a radio and air conditioner.
MY COUSIN TRIED FOOL MY GRANDMA STEAL HER MONEY .,My cousin tried to fool my grandma and steal her money.
ALL DAY I LIKE ACTIVE NOT SIT WATCH TV .,I like to be active and not sit and watch TV all day.
TRUE ?,Is that true?
YOU SHORT .,You are short.
GROCERY STORE I SAVE MONEY HOW? USE C-O-U-P-O-N-S  .,I save money at the grocery store by using coupons.
"YOUR S-I-N-K , COLOR ?",What color is your sink?
"YES , I READY . YOU ?","Yes, I am ready. How about you?"
"DRILL , EXPERIENCE YOU ?",Have you had any experience with a drill?
SOUTH CAROLINA SOUTH DAKOTA WHICH ?,South Carolina or South Dakota?
FOUR COWS I HAVE .,I have four cows.
YOUR HOUSE FLOORS WOOD R-U-G WHICH ?,Are your floors wooden or carpeted?
"YOU PREFER SPORTS , LEISURE ACTIVITIES WHICH ?",Do you prefer sports or leisure activities?
I HATE TELEPHONES .,I hate telephones.
TODAY WIND TWENTY-FIVE MPH .,Today the wind is twenty-five mph.
I TAKE-UP CLASS CHICAGO COMMUNITY COLLEGE .,I am taking class at Chicago Community College.
SHE FEEL GOOD NOT SHE .,She doesn't feel well.
IMPRESSED I .,I'm impressed.
LAW DISOBEY PUNISH WILL .,"If you disobey the law, you will be punished."
"WHAT-TO-DO , DON'T KNOW .",I don't know what to do. 
"NOW ? DIFFERENT , OLDER I .",Now? It's different I'm older.
"WILL BOOK ""HARRY POTIER"" I READ IT WILL .","I will read the book ""Harry Potter""."
I LIKE NEW BOOK .,I like the new book.
CANDLE I PUT+++ .,"I put candles here, there, and there."
YOU LIKE MEAT ?,Do you like meat?
HIMSELF LONELY HE .,He's lonely.
INTRODUCE WIFE ?,May I introduce my wife ?
SHE LIKE MOVIE .,She likes movies.
"P-A-T REALLY-ADEPT DRAMA , REALLY-ADEPT .","Pat is really skilled at acting, really skilled."
THIS YEAR S-W-E-E-T-E-S-T DAY MY BOYFRIEND I TOOK OUT EAT .,This year I took my boyfriend out to eat on Sweetest Day.
"TOMORROW RAIN , YOU GO SWIMMING BEACH YOU ?","If it rains tomorrow, will you go swimming at the beach?"
YOU HAPPY YOU .,You are happy.
CLOTHES YOU HAVE ?,Do you have clothes?
"CLASS FINISH , BACK HOME YOU ?",Are you going back home after class?
"YES , SHE WANT .","Yes, she wants it."
NO I LIVE TH .,"No, I live in a townhouse."
"WRONG YOU , P-A-T DOCTOR , TRUE .","No, you're wrong. Pat really is a doctor."
"WORSE PROBLEM , PEOPLE POOR .",Poverty is the worst problem.
"UNDERSTAND , TEN HOUR STRAIGHT .",But ten hours straight.
YESTERDAY HAPPEN WHAT? WINDOW I LOOK SEE EAGLE .,Yesterday I saw a bald eagle outside my window.
YOUR GRANDPA FARMER ?,Was your grandpa a farmer?
PLEASE SLOW .,Can you please sign slower?
WOMAN SHE NEED CAR SHE .,The woman needs a car.
WHAT HOLIDAY CELEBRATE  J-A-N  ?,Which holiday is celebrated in January?
SHE-BAWL-OUT-I REPEATEDLY .,She's always bawling me out.
THINK YOURSELF .,Think for yourself.
"CAR , MY FRIEND WASH NEVER .",My friend never washes the car.
"TRUE BUT SNOW , LIKE I .","True, but I like snow."
"SATURDAY RAIN , GAME CANCEL .","If it rains on Saturday, the game will be cancelled."
"HEY , HORSE WHITE , SEE YOU ?",Do you see the white horses over there?
MY HEAR-AID BREAK .,My hearing aid broke.
TIME EIGHT PM BOWLING PRACTICE .,Bowling practice is at 8:00 pm.
"BOY STEAL CAMERA , NOTHING HE .",The boy didn't steal the camera.
B-I-L-L-S PAY YOU DONE YOU ?,Have you finished paying the bills?
"EVERY-MORNING , YOU HURRY SHOWER , CLOTHES , EAT , GO SCHOOL YOU ?","Do you rush every morning to shower, get dressed, eat, and go to school?"
"YES , I HAVE TYPEWRITER .","Yes, I have a typewriter."
ONE-THOUSAND DIVIDE TEN EQUAL WHAT ?,What is one thousand divided by ten equal to?
EVERYDAY PEOPLE NEED BURSH-TEETH COMB-HAIR .,"Everyday, people should brush their teeth and comb their hair."
MY CELL PHONE I BRING EVERYWHERE .,I take my cell phone everywhere.
I UNDERSTAND NOT .,I don't understand.
I BIRTH NINETEEN-ELEVEN .,I was born in 1911.
SATURDAY WEATHER WHAT ?,What is the weather Saturday?
YOU LEARN+AM PSU ?,Are you a student at PSU?
YOU LIKE LEARN SIGN ?,Do you like learning sign language?
HE YOUR FATHER .,He is your father.
"OFFICE , YOU GO-TO ?",Are you going to the office?
LIVE WHAT ?,Where do you live?
UMBRELLA LOSE .,I lost my umbrella.
"TEACHER LIGHTS-FLASH ,  WHY ?",Why does the teacher flash the lights?
"YOUR HOUSE , YOU SIT , CAN SOMETIMES HEAR TRAIN ?","When you sit in your house, can you sometimes hear the train?"
TABLE WHERE ?,Where is the table?
"M-R . J-A-C-K-S-O-N LECTURE , BORING .","If Mr. Jackson lectures, it's boring."
"I-T-T-Y-IT , TWO-WE RESERVE CHAIR .",I will call them and reserve seats for the two of us.
"HE GO-TO A-T-M , GET MONEY PAY GOVERNMENT WHY? HE OWE .",He went to use the ATM so he could pay off debt he owed to the government.
TEN NEXT TO ON RIGHT NUMBER WHAT ?,What number comes after 10?
"LOOK JOB , CAN'T FIND , I GET-REGULARLY .","I couldn't find a job, so I got unemployment insurance."
HAVE A-S-P-I-R-I-N ?,Do you have any aspirin?
M-L-K DAY YOUR SCHOOL CLOSED ?,Is your school closed for Martin Luther King Jr. Day?
FRIEND L-E-E MOVE-TO CALIFORNIA .,Lee's friend is moving to California.
"WORSE , SHE-GIVE-I MONEY .",She even gave me money.
PLEASE TURN-ON-LIGHT CAN'T SEE I .,Please turn on the light I can't see.
COFFEE I LIKE I .,I like coffee.
TOMORROW TIME FOUR PM VOLLEYBALL PLAY .,I play volleyball tomorrow at four p.m.
DOG CHASE CAT .,"As for the dog, it chased the cat."
YOUR FAVORITE FOOD WHAT ?,What is your favorite food?
I WALK WORK I .,I will walk to work.
WHY YOU CRABBY ? CHILL OUT .,Why are you crabby? Chill out.
"YOU WASH-LAUNDRY , CLEAN BED HOW ?",How do you wash your laundry and make your bed?
FEEL AWFUL I .,I feel terrible about it.
"DON'T-LIKE FRENCH FRIES , BUT I LIKE PASTA .","I dont like french fries, but I like pasta."
YOURSELF NEED MONEY HOW-MUCH ?,How much money do you need?
NONE SUN IN MOVIE .,There was no sun in the movie.
WATER COSTS NINETY-NINE CENTS .,Water costs $0.99.
IT FOOD HOT NOT IT .,The food is not hot.
DON'T-MIND I-BORROW-SHE DICTIONARY ?,Do you mind if I borrow her dictionary?
"IF NOT GO SIGN CLASS , NOT CHAT DEAF , YOUR SIGN DECLINE ?","If you don't go to sign language class, will your sign language skills decline?"
SENTENCE WRONG .,The sentence isn't wrong.
"COOK , WASH-DISH , HE PREFER IT .",He prefers to cook rather than to wash dishes.
SKUNK SMELL BAD ?,Do skunks smell bad?
"BEFORE I TRAIN RIDE-ON , NEVER .",I have never been on a train before. 
FINGERSPELL CAN BUT READ GOOD CAN'T .,"I can fingerspell, but I can't read it well."
ANY QUESTION YOURSELF HAVE ?,Do you have any questions?
"YOUR COUCH , COLOR ?",What color is your couch?
