Gloss,Frequency
DEMOTE,31
LABEL,31
FLOAT1,31
GLASS1,31
CLOCK1,31
SNEEZE1,31
SLIP1,31
STRAWBERRY1,31
ROCK,31
CREAM1,31
CRACK,31
GETTHROUGH,31
INSPIRING,31
BANK,31
QUIT,31
BETTER,31
SEEM,31
FORGETFUL,31
CLAP,31
AWAKE,31
CHOPSTICKS,31
TIREDOF,31
PITCHER,31
BUS,31
DRIP,31
JEWELRY,31
SAVE,31
EAST,31
ESCAPE,31
GOTOJAIL,31
MARIONETTE,31
SIT,31
STRING,31
FIANCE,31
SANTA,31
BRING,31
RULE,31
EARLY,31
SPOTSOMETHING,31
CARBATTERY,31
BAT3,31
SOME,31
RAZOR1,31
CHANCE,31
BAG1,31
SCISSORS,31
PEPPER,31
WINDMILL1,31
UMBRELLA,31
SHELF,31
PILLOW2,31
CLIENT,31
DONTFEELLIKE,31
THERAPY,31
WHISPER,31
ADVANTAGE,31
BULLSHIT,31
GARAGE,31
GLOVE,31
GUITAR,31
ICECREAM,31
THREE,31
FOX,31
STAR,31
DOOR,31
BANANA1,31
SHOULDER1,31
STAIRS,31
UNDERWEAR1,31
PILL,31
COCONUT,31
BATHROOM,31
PRINT,31
POLICEMAN1,31
SWEATPANTS,31
SCRATCH,31
LAW,31
SHRIMP,31
RETRIEVE,31
HUNT,31
PAPERCUTTER,31
WHIP,31
SOUP,31
WINDOW,31
EGG,31
HEAVEN,31
FLOWER,31
ACTOR,31
AFRICA,31
NEAR,31
BLOW,31
TUESDAY,31
BRAINWASH,31
ADMIT,31
ALITTLEBIT,31
HEAP,31
LAZY,31
ASIA,31
LIBRARY,31
TENNIS,31
BASEBALL,31
BIOLOGY,31
MOUNTAIN1,31
WITCH1,31
CLOWN,31
PERIOD,31
TRUCK2,31
WELCOME2,31
COMPLAIN,31
YOYO,31
HOE,31
TAKENOTES,31
WIND,31
BABYSITTER,31
AT,31
CASUAL,31
OPPORTUNITY,31
PARAGRAPH,31
ASTRONAUT,31
UPSET1,31
DOUBLE,31
SCULPT,31
SCREWDRIVER3,31
LEFT,31
SKILL,31
RETIRE,31
CONFIDENTIAL,31
WALK2,31
ACCESS,31
SOCIALIZE,31
PLAYERS,31
MAGNIFY1,31
ORGANIZATION,31
INSTAGRAM,31
SITUATION,31
SEAL,31
GOTHROUGH,31
POUR1,31
GOINGTHROUGHAHARDTIME,31
SKATEBOARDING2,31
HEAR2,31
SOFA,31
SPILL2,31
VISITOR,31
INTERVENE,31
KITTEN,31
PRIORITY,31
VALLEY,31
POP3,31
ANALYZE,31
ENERGY,31
CLASH,31
FANTASY,31
DEAFSCHOOL,31
CORN3,31
COMMENT,31
TRADITION,31
OPEN,31
QUALITY,31
KANGAROO2,31
OPINION2,31
VEST,31
DECORATE2,31
NETWORK,31
NONSENSE,31
BAG2,31
STAYAWAKE24HRS,31
WHITEPERSON,31
YAWN2,31
TEENAGER,31
PEG3,31
MAGNET3,31
ALIGN,31
TEARRIP2,31
SWEETHEART,31
SKI-CA,31
HARDOFHEARING,31
FOND,31
SQUAREIDIOT,31
DOCTOR2,31
LICENSE,31
SIDE,31
SKATEBOARDING3,31
KISSFIST,31
MIDDLE,31
GUN2,31
WRISTWATCH2,31
POOP,31
PISSEDOFF,31
FROWN1,31
FOOL,31
JUMP,31
SAMESAME,31
STING,31
FOURTH,31
MODEL2,31
ADDICT,31
STACK4,31
LAMP2,31
ATTITUDE,31
PUMPKIN,31
WINDMILL3,31
FEED1,31
WASHMACHINE,31
REGULAR,31
TRIP1,31
STOP,31
ASSEMBLY,31
HONOR,31
STAMP3,31
GLASS3,31
MINDTURNED,31
PUNISH,31
1DOLLAR,31
LOST,31
LOSEGAME,31
FEEDBACK,31
JEWISH,31
BED2,31
FAST,31
POP4,31
FLASHLIGHT4,31
MASCARA,31
LIST,31
BLUE,31
THINKPONDER,31
SUPERIOR,31
WHOLE,31
INEPT,31
SOMERSAULT3,31
LOCK3,31
BRAINSTORM,31
EITHER,31
GUN3,31
BARK1,31
TIEUP2,31
SNOWBOARD,31
BEARD,31
RHINO3,31
THINK,31
BATTERY,31
FOLD2,31
UNDERGRADUATE,31
SCOOP,31
MAGNIFY2,31
PICK,31
HAIRDRYER2,31
CURTSEY1,31
IMAGINE2,31
BUCKLE1,31
DRILL,31
CRY4,31
PROTECTION,31
KNITTING3,31
MAGNET4,31
PITY,31
NEVER,31
SWEEP,31
STUPID2,31
OFFTHEPOINT,31
SEE,31
REMEMBER2,31
MONEY2,31
THINKCHIN,31
TAIL2,31
PRIDE,31
REMOVE,31
SQUEEZE,31
STORY1,31
GETTOGETHER,31
WINE,31
DENTIST2,31
YAWN3,31
PANTS2,31
HOLDTOGETHER,31
MISUNDERSTAND,31
FASCINATED,31
EARRING,31
IGNORE,31
ITALY,31
METAPHOR,31
YELLOW,31
INTRODUCE,31
LOSE,31
JAPAN,31
SMALL,31
OWN,31
SPICY,31
TOY1,31
BETWEEN,31
MOSQUITO,31
LICKENVELOPE1,31
INSTITUTE,31
SUPERVISOR,31
SOPHOMORE,31
SURGEON,31
ORANGE,31
SPAIN,31
SENATE,31
SNORKEL,31
DIFFERENT,31
ONLYONE,31
ARREST1,31
SOON1,31
PRACTICE,31
MEGAPHONE,31
STEP,31
ZERO,31
RAKE,31
DONTKNOW,31
BLOND,31
SCRUB,31
WRITE,31
WHAT2,31
LEARNLESSON,31
FOREVER2,31
LIGHTNING,31
THINKOVER,31
DENY,31
ALONE,31
LUCKY,31
CROCODILE,31
PRAYER,31
GRASP,31
HOSE,31
COUNTRY,31
MISCHIEVOUS,31
VACUUM,31
COMEOUT,31
FORK3,31
GRAB,31
HALL,31
CAMCORDER,31
FORBID,31
BUY,31
FROG,31
SUMMARIZE,31
PRIEST,31
BRAG,31
RELEASE,31
DEGREE,31
TONGUE,31
MEXICAN1,31
EXAMPLE,31
EVERYDAY,31
WEEK,31
GAMBLE,31
WOW,31
MEAT2,31
DISLIKE,31
HOT,31
HATE,31
POUR2,31
FINANCE,31
PAGE,31
SEND,31
GRIEVE,31
BACHELOR,31
TOY3,31
KISS3,31
RUSH,31
EVEN,31
STATE,31
STRAIGHT,31
WASHDISHES,31
EVERYNIGHT,31
EXPERIMENT,31
LAYDOWN,31
WILLGO,31
PRECIOUS,31
THANKYOU,31
CORNER,31
TURN,31
MAPLE,31
SPOON,31
SCIENCE,31
GRAPES1,31
HONK,31
YOURSELF,31
CHOP,31
NOTHING2,31
ROAD,31
SUPPORT2,31
EXPECT,31
TTY,31
MOTIVATION2,31
LETGO,31
HIGHLIGHTER,31
TOOMUCH,31
DRESSER,31
HEAD,31
GAY,31
DEPTH,31
EXPLODE,31
NONE,31
DONTWANT,31
PLAN,31
MEMORIZEMEMORIZE,31
BOW1,31
SCREAM,31
ROLL,31
SIX,31
DISAPPOINT,31
WRITEONWALL,31
OK,31
SMELLMONEY,31
BELL,31
PASSOUT,31
CATEPILLAR,31
ORDER1,31
TRANSLATE,31
COLD,31
WARM,31
REMOTECONTROL,31
STIR,31
IN,31
OSTRICH,31
BANDAGE,31
PLANT,31
FLIPFLOPS,31
SPIDER,31
PLATE,31
UDDER,31
MIX1,31
PANCAKE,31
REASON,31
HELP,31
SCREWDRIVER1,31
CUTE1,31
HIGHSCHOOL,31
LIFT1,31
PINCH1,31
AUTOMATIC,31
SHAKE1,31
SOMETHING,31
CHEAP,31
MEDITATE1,31
PROVIDE,31
VIBRATE,31
SCRIPT,31
ONION,31
SENTENCE2,31
CROSS3,31
HEADCOLD,31
ROW,31
ALWAYS,31
INDEPENDENT,31
PRESS,31
SHORTPERSON,31
BIRTHDAY,31
HEADPHONES,31
DISNEY,31
CHILD,31
CROSSHEART,31
BREAKTIME,31
SYMPATHY,31
HAPPY,31
EIGHT,31
RECITE,31
TIMETOTIME,31
NECKLACE3,31
SPACE,31
PINEAPPLE4,31
COMFORTABLE,31
AUTISM2,31
BOTH,31
LAND,31
FRINGE,31
BEACH,31
COUCH,31
HANDS,31
WHEELCHAIR,31
TRACTOR,31
GLOVES1,31
SHOP1,31
DENTIST1,31
BAR,31
CONGRATULATIONS,31
TOILET,31
COUGH,31
WEDDING,31
PLUMMET,31
ALRIGHT,31
HOLDHANDS,31
WHALE,31
MESS,31
EVERYYEAR,31
BOILINGMAD,31
CURLYHAIR,31
PERFECT,31
BOX,31
CRY1,31
RESPONSIBILITY,31
SQUIRREL,31
GOLF,31
DELICIOUS,31
FIGURE,31
DIE,31
WALK1,31
ASSIST,31
EYETURN,31
LAPTOP,31
SISTER,31
TIGER,31
FROM,31
RECORD,31
SHAKE2,31
HANDSOME3,31
BOUNCE,31
HOWL,31
SOON2,31
STRANGLE,31
POSSUM,31
COMEHERE,31
TALK2,31
GOBACKANDFORTH,31
MANY,31
OOPS,31
MATH,31
DEEP,31
ALLWAY,31
GLUE1,31
SCOLD,31
JUICE1,31
DOWNHILL,31
WE,31
PIANO,31
SMOOTH,31
NICE,31
COUNT,31
TUBE,31
HUG,31
ROSE,31
STINK,31
IMPOSSIBLE,31
WEDNESDAY,31
PROMOTE,31
UNCERTAIN,31
IMPROVE,31
BECOME,31
FASHION,31
COOL3,31
KNIGHT1,31
GLOW,31
COOK,31
NOSE,31
CIRCUSWHEEL,31
PEACOCK,31
INFLUENCE,31
EASYTODO,31
THINKCONNECT,31
PENIS,31
BEAVER,31
SQUARE,30
TOSSOUT,30
PROPOSE,30
TOTAL,30
KNOCKOFF,30
ALASKA,30
PARANOID,30
GOAHEAD,30
VISION,30
SHARPEN3,30
SPREAD3,30
HELICOPTER3,30
EXPRESS,30
DINOSAUR2,30
LIFT2,30
PICKLE,30
VIDEOCAMERA2,30
HOODIE2,30
IRON3,30
DUE,30
PAGEANT,30
HAIRDRYER3,30
INTELLIGENT,30
KNOWNOTHING,30
STRAIN2,30
BANANA4,30
CREAM2,30
TRUCK1,30
LEAF1,30
ROLLERBLADING,30
SUNDAY,30
LOOKBACK,30
OVERNIGHT,30
MAJOR,30
GREET2,30
JACKET2,30
BOW3,30
LOCKER,30
HIT2,30
BOARD,30
DIP2,30
MEXICAN2,30
VISIT,30
ERASE5,30
HUMOR,30
FOLLOW4,30
CAN2,30
PINEAPPLE5,30
RIBBONAWARD,30
REACH,30
OBSESS,30
SENSITIVE,30
HANDSOME4,30
PRINCE,30
EAGLE1,30
FILE2,30
FILE1,30
DROWN2,30
MAGNET1,30
BOOTS1,30
KICK1,30
FIREMAN2,30
INCREDIBLE,30
SUNBATHE1,30
EACHOTHER,30
PACK,30
EMPTY2,30
COMMUNITY,30
SIGNPAPER,30
PEEL1,30
WIDE,30
TOSS,30
STUMBLE,30
SWEARIN,30
LEND,30
GOODYGOODYSHOEOPPOSITE,30
YAWN4,30
RELAX2,30
STRAWBERRY4,30
UNIVERSE,30
MAIL2,30
ELECTROCUTE,30
BURY4,30
HELMET2,30
LOBSTER3,30
CRASHPLANE,30
CHEERLEADER2,30
SHAKESPEARE,30
GESTURE,30
HONEY2,30
AUSTRALIA,30
DISSECT,30
EQUAL,30
FROWN2,30
BADGE,30
GLUE2,30
TRIP2,30
SCARF4,30
OIL3,30
JACKET4,30
TIEUP1,30
LEMON2,30
CREWCUT,30
UNDERWEAR2,30
BARK3,30
NECKLACE4,30
TIMEOUT,30
POOLGAME,30
DEATH,30
ROOSTER,30
THURSDAY,30
COW,30
STETHOSCOPE1,30
LIVE1,30
WRONG,30
LETTER1,30
DRUNK,30
HAIRDRYER1,30
ART,30
BROWN,30
DIVE,30
PLIERS,30
BUG,30
THIN,30
SATURDAY,30
SCARF1,30
GOLD,30
HOUR,30
WEST,30
LAWYER,30
NEWYORK,30
BREATHE,30
IRON1,30
PAST,30
CRACKER1,30
AIRPLANE,30
DIAMOND,30
SNAKE,30
FRUSTRATE,30
DOCTOR1,30
NOTCARE,30
BAD,30
SAME1,30
WET,30
BEER,30
INTERNET,30
OFFICE,30
HAPPEN,30
TOOTHBRUSH-CA,30
FIFTH,30
IRON2,30
WITCH2,30
SHOULDER3,30
MASSAGE,30
NUMBERS,30
SWALLOW,30
MEAN1,30
REST,30
SNOB,30
CHINA,30
CURTAIN,30
FIRED,30
SHORTWORD,30
THEORY,30
ENVELOPE3,30
STACK1,30
ELEVATOR3,30
CHERRY1,30
BANANA2,30
SUMMON,30
A-LINEBOB,30
STOPWATCH,30
RABBIT1,30
JACKET1,30
